support,itemsets
0.8073201720093823,frozenset({'tv'})
0.5767200938232995,frozenset({'laptop'})
0.5447615324472244,frozenset({'chair'})
0.28972830336200156,frozenset({'clock'})
0.28875097732603594,frozenset({'remote'})
0.21613565285379202,frozenset({'keyboard'})
0.9498143080531666,frozenset({'person'})
0.3673279906176701,frozenset({'cup'})
0.35056684910086006,frozenset({'book'})
0.31919468334636436,frozenset({'tie'})
0.2983776387802971,frozenset({'refrigerator'})
0.11361415168100078,frozenset({'suitcase'})
0.37758991399530883,frozenset({'dining table'})
0.256108287724785,frozenset({'car'})
0.2532251759186865,frozenset({'bench'})
0.24799648162627053,frozenset({'oven'})
0.2069487881157154,frozenset({'potted plant'})
0.1600371383893667,frozenset({'vase'})
0.12113956215793589,frozenset({'handbag'})
0.36830531665363564,frozenset({'train'})
0.248778342455043,frozenset({'microwave'})
0.4384773260359656,frozenset({'cell phone'})
0.3183639562157936,frozenset({'bottle'})
0.11581313526192338,frozenset({'couch'})
0.13174354964816262,frozenset({'bowl'})
0.10344996090695856,frozenset({'sink'})
0.32911454261141515,frozenset({'cat'})
0.149091086786552,frozenset({'bus'})
0.10423182173573103,frozenset({'truck'})
0.17758014073494918,frozenset({'cake'})
0.10960711493354183,frozenset({'boat'})
0.14606137607505865,frozenset({'teddy bear'})
0.12587959343236904,frozenset({'bed'})
0.11830531665363565,frozenset({'umbrella'})
0.32066067240031276,frozenset({'dog'})
0.10169077404222049,frozenset({'parking meter'})
0.16604769351055512,frozenset({'donut'})
0.16863760750586396,frozenset({'pizza'})
0.11131743549648163,frozenset({'broccoli'})
0.769204456606724,"frozenset({'person', 'tv'})"
0.5387998436278343,"frozenset({'tv', 'laptop'})"
0.5462275215011728,"frozenset({'person', 'laptop'})"
0.5106039874902267,"frozenset({'person', 'tv', 'laptop'})"
0.44781078967943705,"frozenset({'tv', 'chair'})"
0.30893275996872555,"frozenset({'chair', 'laptop'})"
0.534059812353401,"frozenset({'person', 'chair'})"
0.43930805316653637,"frozenset({'person', 'tv', 'chair'})"
0.28850664581704455,"frozenset({'chair', 'tv', 'laptop'})"
0.30233580922595776,"frozenset({'person', 'chair', 'laptop'})"
0.2825938232994527,"frozenset({'person', 'chair', 'tv', 'laptop'})"
0.2446247068021892,"frozenset({'clock', 'tv'})"
0.1750879593432369,"frozenset({'clock', 'laptop'})"
0.13316067240031274,"frozenset({'clock', 'chair'})"
0.2650996872556685,"frozenset({'clock', 'person'})"
0.13956215793588742,"frozenset({'clock', 'cell phone'})"
0.1366790461297889,"frozenset({'clock', 'train'})"
0.11410281469898358,"frozenset({'book', 'clock'})"
0.10325449569976544,"frozenset({'dining table', 'clock'})"
0.10682173573103987,"frozenset({'cup', 'clock'})"
0.11595973416731822,"frozenset({'cat', 'clock'})"
0.11239249413604378,"frozenset({'clock', 'dog'})"
0.22414972634870994,"frozenset({'person', 'clock', 'tv'})"
0.1665852228303362,"frozenset({'clock', 'tv', 'laptop'})"
0.15959734167318218,"frozenset({'person', 'clock', 'laptop'})"
0.15197419859265052,"frozenset({'person', 'clock', 'tv', 'laptop'})"
0.11371188428459734,"frozenset({'clock', 'tv', 'chair'})"
0.12778537920250196,"frozenset({'clock', 'person', 'chair'})"
0.10921618451915559,"frozenset({'person', 'clock', 'tv', 'chair'})"
0.1342357310398749,"frozenset({'clock', 'person', 'cell phone'})"
0.12074863174354965,"frozenset({'clock', 'tv', 'cell phone'})"
0.11615519937451134,"frozenset({'person', 'clock', 'tv', 'cell phone'})"
0.12216575449569976,"frozenset({'clock', 'person', 'train'})"
0.11806098514464425,"frozenset({'clock', 'tv', 'train'})"
0.10511141516810008,"frozenset({'person', 'clock', 'tv', 'train'})"
0.10613760750586396,"frozenset({'book', 'clock', 'person'})"
0.10149530883502736,"frozenset({'book', 'clock', 'tv'})"
0.10125097732603597,"frozenset({'cup', 'clock', 'person'})"
0.1094116497263487,"frozenset({'person', 'cat', 'clock'})"
0.10779906176700547,"frozenset({'clock', 'person', 'dog'})"
0.23675723221266615,"frozenset({'tv', 'remote'})"
0.18310203283815482,"frozenset({'laptop', 'remote'})"
0.16140539483971852,"frozenset({'chair', 'remote'})"
0.10086004691164972,"frozenset({'clock', 'remote'})"
0.27897771696637996,"frozenset({'person', 'remote'})"
0.18657154026583267,"frozenset({'cell phone', 'remote'})"
0.11581313526192338,"frozenset({'book', 'remote'})"
