support,itemsets
0.9387187802720802,frozenset({'person'})
0.8057532746493703,frozenset({'tv'})
0.33866823905993343,frozenset({'book'})
0.3358463547150739,frozenset({'cup'})
0.30484774459840797,frozenset({'refrigerator'})
0.2701006612475256,frozenset({'tie'})
0.572210756854652,frozenset({'laptop'})
0.5267657835993766,frozenset({'chair'})
0.39670639767510424,frozenset({'cell phone'})
0.35442025017900014,frozenset({'dining table'})
0.2704376026618372,frozenset({'car'})
0.2656361875078971,frozenset({'remote'})
0.12129890915217116,frozenset({'bowl'})
0.11645537632144211,frozenset({'couch'})
0.11270690308722571,frozenset({'handbag'})
0.41296382091563827,frozenset({'train'})
0.3376574148169987,frozenset({'cat'})
0.32316893400160046,frozenset({'dog'})
0.3124710440972076,frozenset({'bottle'})
0.27696584256412415,frozenset({'bench'})
0.16522764604304427,frozenset({'bus'})
0.13288127026913196,frozenset({'teddy bear'})
0.294234090047593,frozenset({'clock'})
0.23366887082508528,frozenset({'keyboard'})
0.1665754117002906,frozenset({'cake'})
0.11005348944952197,frozenset({'suitcase'})
0.14804363391315334,frozenset({'vase'})
0.1031040727793455,frozenset({'sink'})
0.26222465568799225,frozenset({'microwave'})
0.2524112369961673,frozenset({'oven'})
0.20785073495345996,frozenset({'potted plant'})
0.10584172177062713,frozenset({'broccoli'})
0.14223139451627848,frozenset({'donut'})
0.1383144505749063,frozenset({'boat'})
0.15949964199974728,frozenset({'pizza'})
0.10984290106557722,frozenset({'umbrella'})
0.1151497283409847,frozenset({'truck'})
0.13241797582445353,frozenset({'bed'})
0.7622878322031756,"frozenset({'person', 'tv'})"
0.3206839910710525,"frozenset({'book', 'person'})"
0.2906962051973213,"frozenset({'book', 'tv'})"
0.23265804658215053,"frozenset({'book', 'laptop'})"
0.18283283494082467,"frozenset({'book', 'chair'})"
0.15971023038369203,"frozenset({'book', 'cell phone'})"
0.14437939603251485,"frozenset({'book', 'dining table'})"
0.12230973339510592,"frozenset({'book', 'train'})"
0.2763761950890789,"frozenset({'book', 'person', 'tv'})"
0.21981215516152128,"frozenset({'book', 'person', 'laptop'})"
0.2183380364739081,"frozenset({'book', 'tv', 'laptop'})"
0.20692414606410311,"frozenset({'book', 'person', 'tv', 'laptop'})"
0.1785789495851409,"frozenset({'book', 'person', 'chair'})"
0.1579412879585562,"frozenset({'book', 'tv', 'chair'})"
0.1216779682432717,"frozenset({'book', 'chair', 'laptop'})"
0.1545297561386514,"frozenset({'book', 'person', 'tv', 'chair'})"
0.11856126016088953,"frozenset({'book', 'person', 'chair', 'laptop'})"
0.11422313945162785,"frozenset({'book', 'chair', 'tv', 'laptop'})"
0.11152760813713515,"frozenset({'book', 'person', 'chair', 'tv', 'laptop'})"
0.15507728593690773,"frozenset({'book', 'person', 'cell phone'})"
0.13936739249462998,"frozenset({'book', 'tv', 'cell phone'})"
0.11561302278566314,"frozenset({'book', 'cell phone', 'laptop'})"
0.1354504485532578,"frozenset({'book', 'person', 'tv', 'cell phone'})"
0.11178031419786885,"frozenset({'book', 'person', 'cell phone', 'laptop'})"
0.10862148843869772,"frozenset({'book', 'tv', 'laptop', 'cell phone'})"
0.1052941919723708,"frozenset({'book', 'person', 'cell phone', 'tv', 'laptop'})"
0.13494503643179043,"frozenset({'book', 'dining table', 'person'})"
0.12121467379859327,"frozenset({'book', 'dining table', 'tv'})"
0.10297771974897865,"frozenset({'book', 'dining table', 'laptop'})"
0.11460219854272838,"frozenset({'dining table', 'person', 'tv', 'book'})"
0.11434949248199469,"frozenset({'book', 'person', 'train'})"
0.10849513540833088,"frozenset({'book', 'tv', 'train'})"
0.10167207176852125,"frozenset({'book', 'person', 'tv', 'train'})"
0.3216948153139873,"frozenset({'cup', 'person'})"
0.2687950132670682,"frozenset({'cup', 'tv'})"
0.13869350966600683,"frozenset({'book', 'cup'})"
0.2081455586909826,"frozenset({'cup', 'chair'})"
0.19344648949163964,"frozenset({'cup', 'laptop'})"
0.16518552836625533,"frozenset({'cup', 'dining table'})"
0.16076317230341575,"frozenset({'cup', 'cell phone'})"
0.1128753737943815,"frozenset({'cup', 'train'})"
0.1105167838942004,"frozenset({'cup', 'cat'})"
0.2592764183127659,"frozenset({'cup', 'person', 'tv'})"
0.13233374047087562,"frozenset({'book', 'cup', 'person'})"
0.11632902329107526,"frozenset({'book', 'cup', 'tv'})"
0.1115697258139241,"frozenset({'book', 'person', 'cup', 'tv'})"
0.20406014404245462,"frozenset({'cup', 'person', 'chair'})"
0.1709135324095523,"frozenset({'cup', 'tv', 'chair'})"
0.16792317735753695,"frozenset({'cup', 'person', 'tv', 'chair'})"
0.18506507181063891,"frozenset({'cup', 'person', 'laptop'})"
0.17925283241376405,"frozenset({'cup', 'tv', 'laptop'})"
0.11999326117171377,"frozenset({'cup', 'chair', 'laptop'})"
0.17200859200606494,"frozenset({'cup', 'person', 'tv', 'laptop'})"
0.11746620056437687,"frozenset({'cup', 'chair', 'person', 'laptop'})"
0.11144337278355726,"frozenset({'cup', 'chair', 'tv', 'laptop'})"
0.10916901823695405,"frozenset({'person', 'cup', 'chair', 'tv', 'laptop'})"
0.15545634502800826,"frozenset({'cup', 'dining table', 'person'})"
0.13001726824748347,"frozenset({'cup', 'dining table', 'tv'})"
0.10916901823695405,"frozenset({'cup', 'dining table', 'chair'})"
0.10015583540411911,"frozenset({'cup', 'dining table', 'laptop'})"
0.1242050288506086,"frozenset({'dining table', 'person', 'cup', 'tv'})"
0.1065156045992503,"frozenset({'cup', 'dining table', 'person', 'chair'})"
0.15684622836204354,"frozenset({'cup', 'person', 'cell phone'})"
0.1326706818851872,"frozenset({'cup', 'tv', 'cell phone'})"
0.10386219096154656,"frozenset({'cup', 'chair', 'cell phone'})"
0.100240070757697,"frozenset({'cup', 'cell phone', 'laptop'})"
0.12963820915638294,"frozenset({'cup', 'person', 'tv', 'cell phone'})"
0.10280924904182286,"frozenset({'cup', 'chair', 'person', 'cell phone'})"
0.10786337025649666,"frozenset({'cup', 'person', 'train'})"
0.1068525460135619,"frozenset({'cup', 'cat', 'person'})"
0.29389714863328137,"frozenset({'refrigerator', 'person'})"
0.2710693678136714,"frozenset({'refrigerator', 'tv'})"
0.12770079602409132,"frozenset({'refrigerator', 'book'})"
0.12281514551657331,"frozenset({'refrigerator', 'cup'})"
0.18552836625531735,"frozenset({'refrigerator', 'laptop'})"
0.17141894453101966,"frozenset({'refrigerator', 'chair'})"
0.12024596723244746,"frozenset({'refrigerator', 'cell phone'})"
0.11557090510887419,"frozenset({'refrigerator', 'dining table'})"
0.1509497536115908,"frozenset({'refrigerator', 'train'})"
0.12433138188097545,"frozenset({'refrigerator', 'bottle'})"
0.2616771258897359,"frozenset({'refrigerator', 'person', 'tv'})"
