support,itemsets
0.9411867212686242,frozenset({'person'})
0.5458743574104731,frozenset({'chair'})
0.4134791321773983,frozenset({'cell phone'})
0.35575498823734425,frozenset({'cup'})
0.3457349481571839,frozenset({'cat'})
0.3363248235601638,frozenset({'dog'})
0.8129302082425721,frozenset({'tv'})
0.36555720135924025,frozenset({'dining table'})
0.33606343121024657,frozenset({'bottle'})
0.33175045743661236,frozenset({'book'})
0.22797769451947372,frozenset({'keyboard'})
0.17543783218611136,frozenset({'cake'})
0.15910081031628473,frozenset({'pizza'})
0.1555720135924022,frozenset({'donut'})
0.12498910865208679,frozenset({'bowl'})
0.10730155964102117,frozenset({'broccoli'})
0.4100810316284743,frozenset({'train'})
0.28317504574366126,frozenset({'clock'})
0.23568876884203188,frozenset({'microwave'})
0.1065173825912695,frozenset({'sink'})
0.5793761435915309,frozenset({'laptop'})
0.2672736777903633,frozenset({'bench'})
0.14019343033893875,frozenset({'bed'})
0.12533763178530974,frozenset({'couch'})
0.1604949028491766,frozenset({'vase'})
0.12834364380935784,frozenset({'handbag'})
0.2962882286311754,frozenset({'refrigerator'})
0.27751154482878804,frozenset({'remote'})
0.2744184020214342,frozenset({'tie'})
0.2725886555720136,frozenset({'car'})
0.2299817025355058,frozenset({'oven'})
0.2109436263832012,frozenset({'potted plant'})
0.12986843251720834,frozenset({'boat'})
0.10765008277424414,frozenset({'truck'})
0.1452034503790189,frozenset({'teddy bear'})
0.10882634834887166,frozenset({'backpack'})
0.11888995382068485,frozenset({'umbrella'})
0.1633702186982661,frozenset({'bus'})
0.11841073451250327,frozenset({'suitcase'})
0.11222444889779559,frozenset({'parking meter'})
0.5355929249803956,"frozenset({'person', 'chair'})"
0.45464842728936133,"frozenset({'tv', 'chair'})"
0.31223316197612616,"frozenset({'chair', 'laptop'})"
0.44737300688333187,"frozenset({'person', 'tv', 'chair'})"
0.30595974557811273,"frozenset({'person', 'chair', 'laptop'})"
0.2965931863727455,"frozenset({'chair', 'tv', 'laptop'})"
0.29062472771630216,"frozenset({'person', 'chair', 'tv', 'laptop'})"
0.40546310011327,"frozenset({'person', 'cell phone'})"
0.24531672039731636,"frozenset({'chair', 'cell phone'})"
0.34900235253114925,"frozenset({'tv', 'cell phone'})"
0.25991112660102816,"frozenset({'cell phone', 'laptop'})"
0.24357410473120153,"frozenset({'chair', 'person', 'cell phone'})"
0.20859109523394614,"frozenset({'chair', 'tv', 'cell phone'})"
0.15038773198571054,"frozenset({'chair', 'cell phone', 'laptop'})"
0.20715343730940142,"frozenset({'person', 'chair', 'tv', 'cell phone'})"
0.14903720484447155,"frozenset({'person', 'chair', 'cell phone', 'laptop'})"
0.142807353838111,"frozenset({'chair', 'tv', 'laptop', 'cell phone'})"
0.14154395748017776,"frozenset({'person', 'chair', 'cell phone', 'tv', 'laptop'})"
0.34224971682495425,"frozenset({'person', 'tv', 'cell phone'})"
0.25363771020301473,"frozenset({'person', 'cell phone', 'laptop'})"
0.2457088089221922,"frozenset({'tv', 'laptop', 'cell phone'})"
0.23995817722401325,"frozenset({'person', 'tv', 'laptop', 'cell phone'})"
0.342685370741483,"frozenset({'cup', 'person'})"
0.2285004792193082,"frozenset({'cup', 'chair'})"
0.17757253637710202,"frozenset({'cup', 'cell phone'})"
0.2890999390084517,"frozenset({'cup', 'tv'})"
0.17948941360982834,"frozenset({'cup', 'dining table'})"
0.20785048357584734,"frozenset({'cup', 'laptop'})"
0.12294153524440185,"frozenset({'cup', 'train'})"
0.2251459440620371,"frozenset({'cup', 'person', 'chair'})"
0.19059858848131045,"frozenset({'cup', 'tv', 'chair'})"
0.1881153611570968,"frozenset({'cup', 'person', 'tv', 'chair'})"
0.1746100897447068,"frozenset({'cup', 'person', 'cell phone'})"
0.11771368824605734,"frozenset({'cup', 'chair', 'cell phone'})"
0.14934216258604166,"frozenset({'cup', 'tv', 'cell phone'})"
0.1113095756730853,"frozenset({'cup', 'cell phone', 'laptop'})"
0.11684238041299991,"frozenset({'cup', 'chair', 'person', 'cell phone'})"
0.10020040080160321,"frozenset({'cup', 'chair', 'tv', 'cell phone'})"
0.14707676222009236,"frozenset({'cup', 'person', 'tv', 'cell phone'})"
0.10913130609044175,"frozenset({'cup', 'person', 'cell phone', 'laptop'})"
0.10464407075019605,"frozenset({'cup', 'tv', 'laptop', 'cell phone'})"
0.10268362812581686,"frozenset({'person', 'cup', 'cell phone', 'tv', 'laptop'})"
0.28090964537771196,"frozenset({'cup', 'person', 'tv'})"
0.14394005402108564,"frozenset({'cup', 'dining table', 'tv'})"
0.17125555458743574,"frozenset({'cup', 'dining table', 'person'})"
0.12150387731985711,"frozenset({'cup', 'dining table', 'chair'})"
0.10934913304870611,"frozenset({'cup', 'dining table', 'laptop'})"
0.13945281868083995,"frozenset({'dining table', 'person', 'cup', 'tv'})"
0.11954343469547792,"frozenset({'cup', 'dining table', 'person', 'chair'})"
0.10072318550143766,"frozenset({'cup', 'dining table', 'tv', 'chair'})"
