support,itemsets
0.9445005045408678,frozenset({'person'})
0.8180289270097545,frozenset({'tv'})
0.5681130171543896,frozenset({'chair'})
0.5475950218634376,frozenset({'laptop'})
0.3908509922637067,frozenset({'cat'})
0.3757147662293979,frozenset({'train'})
0.32761520349815004,frozenset({'bottle'})
0.3081062899428187,frozenset({'dining table'})
0.2717793474604776,frozenset({'bench'})
0.26538849646821394,frozenset({'tie'})
0.21392532795156408,frozenset({'keyboard'})
0.20417087117389843,frozenset({'potted plant'})
0.15472586612848974,frozenset({'vase'})
0.1163807601749075,frozenset({'bus'})
0.10158089471913892,frozenset({'boat'})
0.3837874201143626,frozenset({'cell phone'})
0.28422468886646485,frozenset({'refrigerator'})
0.26572485704675414,frozenset({'remote'})
0.2112344433232425,frozenset({'oven'})
0.3488059199461823,frozenset({'dog'})
0.13454423141607805,frozenset({'couch'})
0.1305079044735957,frozenset({'bed'})
0.24587958291288262,frozenset({'microwave'})
0.23747056844937772,frozenset({'car'})
0.10258997645475951,frozenset({'sink'})
0.3010427177934746,frozenset({'book'})
0.11537167843928692,frozenset({'handbag'})
0.10225361587621931,frozenset({'suitcase'})
0.3212243525058863,frozenset({'cup'})
0.2626976118398924,frozenset({'clock'})
0.12647157753111335,frozenset({'donut'})
0.12008072653884964,frozenset({'cake'})
0.11873528422468886,frozenset({'pizza'})
0.12546249579549276,frozenset({'teddy bear'})
0.10427177934746047,frozenset({'parking meter'})
0.7722838883282879,"frozenset({'person', 'tv'})"
0.5566767574840229,"frozenset({'person', 'chair'})"
0.4682139253279516,"frozenset({'chair', 'tv'})"
0.4577867473932055,"frozenset({'chair', 'person', 'tv'})"
0.5179952909519004,"frozenset({'tv', 'laptop'})"
0.510258997645476,"frozenset({'person', 'laptop'})"
0.2973427514295325,"frozenset({'chair', 'laptop'})"
0.48234106962663975,"frozenset({'person', 'tv', 'laptop'})"
0.2882610158089472,"frozenset({'chair', 'person', 'laptop'})"
0.2808610830810629,"frozenset({'chair', 'tv', 'laptop'})"
0.2717793474604776,"frozenset({'chair', 'person', 'tv', 'laptop'})"
0.38109653548604105,"frozenset({'cat', 'person'})"
0.3235788765556677,"frozenset({'cat', 'tv'})"
0.22704339051463168,"frozenset({'cat', 'laptop'})"
0.20854355869492094,"frozenset({'cat', 'chair'})"
0.3148335015136226,"frozenset({'cat', 'person', 'tv'})"
0.2203161789438278,"frozenset({'cat', 'person', 'laptop'})"
0.21527077026572486,"frozenset({'cat', 'tv', 'laptop'})"
0.20854355869492094,"frozenset({'cat', 'tv', 'person', 'laptop'})"
0.2055163134880592,"frozenset({'cat', 'person', 'chair'})"
0.17490750084090145,"frozenset({'cat', 'chair', 'tv'})"
0.11469895728220653,"frozenset({'cat', 'chair', 'laptop'})"
0.1718802556340397,"frozenset({'cat', 'chair', 'person', 'tv'})"
0.11200807265388496,"frozenset({'cat', 'chair', 'person', 'laptop'})"
0.10931718802556341,"frozenset({'cat', 'tv', 'chair', 'laptop'})"
0.10662630339724184,"frozenset({'cat', 'tv', 'laptop', 'person', 'chair'})"
0.34510595358224017,"frozenset({'train', 'person'})"
0.3222334342415069,"frozenset({'train', 'tv'})"
0.20921627985200134,"frozenset({'train', 'chair'})"
0.20282542885973764,"frozenset({'train', 'laptop'})"
0.12815338042381433,"frozenset({'cat', 'train'})"
0.11268079381096535,"frozenset({'train', 'cell phone'})"
0.2959973091153717,"frozenset({'train', 'person', 'tv'})"
0.20147998654557686,"frozenset({'train', 'person', 'chair'})"
0.18096199125462495,"frozenset({'train', 'chair', 'tv'})"
0.17389841910528087,"frozenset({'train', 'chair', 'person', 'tv'})"
0.19441641439623275,"frozenset({'train', 'tv', 'laptop'})"
0.18264379414732593,"frozenset({'train', 'person', 'laptop'})"
0.10931718802556341,"frozenset({'train', 'chair', 'laptop'})"
0.17457114026236126,"frozenset({'train', 'person', 'tv', 'laptop'})"
0.10494450050454086,"frozenset({'train', 'chair', 'tv', 'laptop'})"
0.1032626976118399,"frozenset({'train', 'chair', 'person', 'laptop'})"
0.1237806929027918,"frozenset({'cat', 'train', 'person'})"
0.11066263033972419,"frozenset({'cat', 'train', 'tv'})"
0.10662630339724184,"frozenset({'cat', 'train', 'person', 'tv'})"
0.10830810628994282,"frozenset({'train', 'cell phone', 'person'})"
0.10057181298351833,"frozenset({'train', 'cell phone', 'tv'})"
0.31853346787756476,"frozenset({'person', 'bottle'})"
0.2680793810965355,"frozenset({'tv', 'bottle'})"
0.22199798183652875,"frozenset({'chair', 'bottle'})"
0.16918937100571813,"frozenset({'laptop', 'bottle'})"
0.12680793810965355,"frozenset({'train', 'bottle'})"
0.11436259670366633,"frozenset({'cat', 'bottle'})"
0.1432896064581231,"frozenset({'cell phone', 'bottle'})"
0.10359905819038008,"frozenset({'dog', 'bottle'})"
0.2613521695257316,"frozenset({'person', 'tv', 'bottle'})"
0.2193070972082072,"frozenset({'person', 'chair', 'bottle'})"
0.18230743356878573,"frozenset({'chair', 'tv', 'bottle'})"
0.18028927009754456,"frozenset({'chair', 'person', 'tv', 'bottle'})"
0.16347124117053483,"frozenset({'person', 'laptop', 'bottle'})"
0.15943491422805248,"frozenset({'bottle', 'tv', 'laptop'})"
0.11537167843928692,"frozenset({'chair', 'laptop', 'bottle'})"
0.15405314497140934,"frozenset({'person', 'bottle', 'tv', 'laptop'})"
0.11335351496804574,"frozenset({'chair', 'person', 'laptop', 'bottle'})"
0.10797174571140263,"frozenset({'chair', 'bottle', 'tv', 'laptop'})"
0.10595358224016145,"frozenset({'bottle', 'tv', 'laptop', 'person', 'chair'})"
0.12243525058863101,"frozenset({'train', 'person', 'bottle'})"
0.10898082744702321,"frozenset({'train', 'tv', 'bottle'})"
0.10595358224016145,"frozenset({'train', 'person', 'tv', 'bottle'})"
0.11301715438950555,"frozenset({'cat', 'person', 'bottle'})"
0.14194416414396233,"frozenset({'cell phone', 'person', 'bottle'})"
0.11839892364614867,"frozenset({'cell phone', 'tv', 'bottle'})"
0.1032626976118399,"frozenset({'cell phone', 'chair', 'bottle'})"
0.1170534813319879,"frozenset({'cell phone', 'person', 'tv', 'bottle'})"
0.10258997645475951,"frozenset({'cell phone', 'person', 'chair', 'bottle'})"
0.10225361587621931,"frozenset({'person', 'dog', 'bottle'})"
0.2953245879582913,"frozenset({'person', 'dining table'})"
0.2478977463841238,"frozenset({'dining table', 'tv'})"
0.21762529431550623,"frozenset({'dining table', 'chair'})"
0.1712075344769593,"frozenset({'dining table', 'laptop'})"
0.13353514968045746,"frozenset({'dining table', 'bottle'})"
0.10628994281870165,"frozenset({'cat', 'dining table'})"
0.10090817356205853,"frozenset({'train', 'dining table'})"
0.1231079717457114,"frozenset({'cell phone', 'dining table'})"
0.14934409687184663,"frozenset({'cup', 'dining table'})"
0.23713420787083753,"frozenset({'person', 'dining table', 'tv'})"
0.2122435250588631,"frozenset({'person', 'dining table', 'chair'})"
0.17423477968382106,"frozenset({'chair', 'dining table', 'tv'})"
0.16918937100571813,"frozenset({'chair', 'person', 'dining table', 'tv'})"
0.16145307769929365,"frozenset({'person', 'dining table', 'laptop'})"
0.1570803901782711,"frozenset({'dining table', 'tv', 'laptop'})"
0.11200807265388496,"frozenset({'chair', 'dining table', 'laptop'})"
0.14799865455768585,"frozenset({'person', 'dining table', 'tv', 'laptop'})"
0.10763538513286243,"frozenset({'chair', 'person', 'dining table', 'laptop'})"
0.10225361587621931,"frozenset({'chair', 'dining table', 'tv', 'laptop'})"
0.1294988227379751,"frozenset({'person', 'dining table', 'bottle'})"
0.10696266397578204,"frozenset({'dining table', 'tv', 'bottle'})"
0.1029263370332997,"frozenset({'dining table', 'chair', 'bottle'})"
0.10359905819038008,"frozenset({'person', 'dining table', 'tv', 'bottle'})"
0.10158089471913892,"frozenset({'person', 'dining table', 'chair', 'bottle'})"
0.10393541876892028,"frozenset({'cat', 'person', 'dining table'})"
0.12142616885301043,"frozenset({'cell phone', 'person', 'dining table'})"
0.1029263370332997,"frozenset({'cell phone', 'dining table', 'tv'})"
0.10124453414059872,"frozenset({'cell phone', 'person', 'dining table', 'tv'})"
0.1436259670366633,"frozenset({'cup', 'person', 'dining table'})"
0.12008072653884964,"frozenset({'cup', 'dining table', 'tv'})"
0.1163807601749075,"frozenset({'cup', 'dining table', 'chair'})"
0.11503531786074672,"frozenset({'cup', 'person', 'dining table', 'tv'})"
0.11402623612512613,"frozenset({'cup', 'person', 'dining table', 'chair'})"
0.2589976454759502,"frozenset({'person', 'bench'})"
0.21056172216616212,"frozenset({'tv', 'bench'})"
0.2061890346451396,"frozenset({'chair', 'bench'})"
0.13992600067272115,"frozenset({'train', 'bench'})"
0.13488059199461824,"frozenset({'laptop', 'bench'})"
0.11335351496804574,"frozenset({'dining table', 'bench'})"
0.19979818365287588,"frozenset({'person', 'tv', 'bench'})"
0.1994618230743357,"frozenset({'person', 'chair', 'bench'})"
0.15977127480659267,"frozenset({'chair', 'tv', 'bench'})"
0.15371678439286915,"frozenset({'chair', 'person', 'tv', 'bench'})"
0.1308442650521359,"frozenset({'train', 'person', 'bench'})"
0.1170534813319879,"frozenset({'train', 'tv', 'bench'})"
0.10023545240497814,"frozenset({'train', 'chair', 'bench'})"
0.10898082744702321,"frozenset({'train', 'person', 'tv', 'bench'})"
0.12478977463841238,"frozenset({'person', 'laptop', 'bench'})"
0.12445341405987219,"frozenset({'bench', 'tv', 'laptop'})"
0.10023545240497814,"frozenset({'chair', 'laptop', 'bench'})"
0.11503531786074672,"frozenset({'bench', 'person', 'tv', 'laptop'})"
0.10898082744702321,"frozenset({'person', 'dining table', 'bench'})"
0.26404305415405316,"frozenset({'tie', 'person'})"
0.2129162462159435,"frozenset({'tie', 'tv'})"
0.16885301042717793,"frozenset({'tie', 'chair'})"
0.14631685166498487,"frozenset({'tie', 'laptop'})"
0.11167171207534476,"frozenset({'tie', 'cat'})"
0.1298351833165153,"frozenset({'tie', 'cell phone'})"
0.2115708039017827,"frozenset({'tie', 'person', 'tv'})"
0.16851664984863773,"frozenset({'tie', 'person', 'chair'})"
0.1368987554658594,"frozenset({'tie', 'chair', 'tv'})"
0.1365623948873192,"frozenset({'tie', 'chair', 'person', 'tv'})"
0.14530776992936428,"frozenset({'tie', 'person', 'laptop'})"
0.13824419778002017,"frozenset({'tie', 'tv', 'laptop'})"
0.13723511604439959,"frozenset({'tie', 'tv', 'person', 'laptop'})"
0.11066263033972419,"frozenset({'tie', 'person', 'cat'})"
0.12916246215943492,"frozenset({'tie', 'cell phone', 'person'})"
0.10797174571140263,"frozenset({'tie', 'cell phone', 'tv'})"
0.10729902455432223,"frozenset({'tie', 'cell phone', 'person', 'tv'})"
0.19609821728893373,"frozenset({'person', 'keyboard'})"
0.19307097208207197,"frozenset({'keyboard', 'tv'})"
0.17759838546922302,"frozenset({'keyboard', 'laptop'})"
0.11436259670366633,"frozenset({'chair', 'keyboard'})"
0.10023545240497814,"frozenset({'cat', 'keyboard'})"
0.17625294315506224,"frozenset({'person', 'keyboard', 'tv'})"
0.16683484695593676,"frozenset({'keyboard', 'tv', 'laptop'})"
0.16044399596367306,"frozenset({'person', 'keyboard', 'laptop'})"
0.1506895391860074,"frozenset({'person', 'keyboard', 'tv', 'laptop'})"
0.10931718802556341,"frozenset({'chair', 'person', 'keyboard'})"
0.1029263370332997,"frozenset({'chair', 'keyboard', 'tv'})"
0.1984527413387151,"frozenset({'person', 'potted plant'})"
0.16582576522031617,"frozenset({'potted plant', 'tv'})"
0.13790783720147998,"frozenset({'potted plant', 'chair'})"
0.16078035654221326,"frozenset({'person', 'potted plant', 'tv'})"
0.13555331315169863,"frozenset({'person', 'potted plant', 'chair'})"
0.11503531786074672,"frozenset({'chair', 'potted plant', 'tv'})"
0.11268079381096535,"frozenset({'chair', 'person', 'potted plant', 'tv'})"
0.14833501513622604,"frozenset({'person', 'vase'})"
