support,itemsets
0.9247138047138047,frozenset({'person'})
0.804983164983165,frozenset({'tv'})
0.5781818181818181,frozenset({'laptop'})
0.2443097643097643,frozenset({'keyboard'})
0.5548821548821549,frozenset({'chair'})
0.4891582491582492,frozenset({'train'})
0.3987878787878788,frozenset({'dining table'})
0.36107744107744105,frozenset({'cup'})
0.3528619528619529,frozenset({'cell phone'})
0.3435690235690236,frozenset({'car'})
0.3054545454545455,frozenset({'bench'})
0.2967003367003367,frozenset({'oven'})
0.28915824915824917,frozenset({'refrigerator'})
0.2686868686868687,frozenset({'potted plant'})
0.24336700336700337,frozenset({'microwave'})
0.1863973063973064,frozenset({'bus'})
0.17023569023569024,frozenset({'bowl'})
0.15757575757575756,frozenset({'truck'})
0.14572390572390573,frozenset({'traffic light'})
0.1428956228956229,frozenset({'boat'})
0.13952861952861953,frozenset({'sink'})
0.11367003367003367,frozenset({'parking meter'})
0.39474747474747474,frozenset({'cat'})
0.3449158249158249,frozenset({'bottle'})
0.21966329966329967,frozenset({'pizza'})
0.19663299663299663,frozenset({'tie'})
0.17939393939393938,frozenset({'teddy bear'})
0.39555555555555555,frozenset({'dog'})
0.2868686868686869,frozenset({'book'})
0.24848484848484848,frozenset({'remote'})
0.3218855218855219,frozenset({'clock'})
0.11057239057239057,frozenset({'couch'})
0.17117845117845118,frozenset({'donut'})
0.13117845117845117,frozenset({'suitcase'})
0.10760942760942761,frozenset({'handbag'})
0.16700336700336701,frozenset({'vase'})
0.24404040404040403,frozenset({'cake'})
0.13845117845117846,frozenset({'broccoli'})
0.1142087542087542,frozenset({'umbrella'})
0.13616161616161615,frozenset({'bed'})
0.7531313131313131,"frozenset({'person', 'tv'})"
0.5437037037037037,"frozenset({'tv', 'laptop'})"
0.5367003367003367,"frozenset({'person', 'laptop'})"
0.5051851851851852,"frozenset({'person', 'tv', 'laptop'})"
0.21898989898989898,"frozenset({'person', 'keyboard'})"
0.21387205387205388,"frozenset({'tv', 'keyboard'})"
0.2065993265993266,"frozenset({'keyboard', 'laptop'})"
0.12484848484848485,"frozenset({'cat', 'keyboard'})"
0.1235016835016835,"frozenset({'keyboard', 'dog'})"
0.1286195286195286,"frozenset({'chair', 'keyboard'})"
0.12148148148148148,"frozenset({'keyboard', 'train'})"
0.10141414141414141,"frozenset({'dining table', 'keyboard'})"
0.1919191919191919,"frozenset({'person', 'tv', 'keyboard'})"
0.19138047138047137,"frozenset({'keyboard', 'tv', 'laptop'})"
0.18451178451178452,"frozenset({'keyboard', 'person', 'laptop'})"
0.1709090909090909,"frozenset({'keyboard', 'person', 'tv', 'laptop'})"
0.11245791245791245,"frozenset({'cat', 'person', 'keyboard'})"
0.10760942760942761,"frozenset({'keyboard', 'cat', 'laptop'})"
0.10734006734006735,"frozenset({'cat', 'tv', 'keyboard'})"
0.11232323232323232,"frozenset({'person', 'keyboard', 'dog'})"
0.1032996632996633,"frozenset({'tv', 'keyboard', 'dog'})"
0.10168350168350168,"frozenset({'keyboard', 'laptop', 'dog'})"
0.12296296296296297,"frozenset({'chair', 'person', 'keyboard'})"
0.11636363636363636,"frozenset({'chair', 'tv', 'keyboard'})"
0.10909090909090909,"frozenset({'keyboard', 'chair', 'laptop'})"
0.11124579124579125,"frozenset({'person', 'chair', 'tv', 'keyboard'})"
0.10437710437710437,"frozenset({'keyboard', 'person', 'chair', 'laptop'})"
0.10262626262626262,"frozenset({'keyboard', 'chair', 'tv', 'laptop'})"
0.10962962962962963,"frozenset({'person', 'keyboard', 'train'})"
0.10841750841750841,"frozenset({'tv', 'keyboard', 'train'})"
0.5372390572390573,"frozenset({'person', 'chair'})"
0.45791245791245794,"frozenset({'tv', 'chair'})"
0.31865319865319863,"frozenset({'chair', 'laptop'})"
0.44525252525252523,"frozenset({'person', 'tv', 'chair'})"
0.30936026936026934,"frozenset({'person', 'chair', 'laptop'})"
0.30154882154882157,"frozenset({'chair', 'tv', 'laptop'})"
0.2927946127946128,"frozenset({'person', 'chair', 'tv', 'laptop'})"
0.456026936026936,"frozenset({'person', 'train'})"
0.4117171717171717,"frozenset({'tv', 'train'})"
0.2874074074074074,"frozenset({'chair', 'train'})"
0.2833670033670034,"frozenset({'laptop', 'train'})"
0.38572390572390575,"frozenset({'person', 'tv', 'train'})"
0.2783838383838384,"frozenset({'person', 'chair', 'train'})"
0.24525252525252525,"frozenset({'tv', 'chair', 'train'})"
0.2383838383838384,"frozenset({'person', 'tv', 'chair', 'train'})"
0.2698989898989899,"frozenset({'tv', 'laptop', 'train'})"
0.26316498316498316,"frozenset({'person', 'laptop', 'train'})"
0.16188552188552188,"frozenset({'chair', 'laptop', 'train'})"
0.25063973063973066,"frozenset({'person', 'tv', 'laptop', 'train'})"
0.15703703703703703,"frozenset({'chair', 'person', 'laptop', 'train'})"
0.15542087542087543,"frozenset({'chair', 'tv', 'laptop', 'train'})"
0.15084175084175083,"frozenset({'person', 'chair', 'tv', 'laptop', 'train'})"
0.3691582491582492,"frozenset({'dining table', 'person'})"
0.30626262626262624,"frozenset({'dining table', 'tv'})"
0.2554882154882155,"frozenset({'dining table', 'chair'})"
0.22882154882154881,"frozenset({'dining table', 'laptop'})"
0.1785858585858586,"frozenset({'dining table', 'train'})"
0.289023569023569,"frozenset({'dining table', 'person', 'tv'})"
0.24606060606060606,"frozenset({'dining table', 'person', 'chair'})"
0.20565656565656565,"frozenset({'dining table', 'tv', 'chair'})"
0.19946127946127945,"frozenset({'dining table', 'person', 'tv', 'chair'})"
0.214006734006734,"frozenset({'dining table', 'person', 'laptop'})"
0.2084848484848485,"frozenset({'dining table', 'tv', 'laptop'})"
0.14505050505050504,"frozenset({'dining table', 'chair', 'laptop'})"
0.19555555555555557,"frozenset({'dining table', 'person', 'tv', 'laptop'})"
0.13993265993265994,"frozenset({'dining table', 'person', 'chair', 'laptop'})"
0.1348148148148148,"frozenset({'dining table', 'chair', 'tv', 'laptop'})"
0.13023569023569023,"frozenset({'person', 'chair', 'dining table', 'tv', 'laptop'})"
0.16808080808080808,"frozenset({'dining table', 'person', 'train'})"
0.14666666666666667,"frozenset({'dining table', 'tv', 'train'})"
0.12269360269360269,"frozenset({'dining table', 'chair', 'train'})"
0.10101010101010101,"frozenset({'dining table', 'laptop', 'train'})"
0.138989898989899,"frozenset({'dining table', 'person', 'tv', 'train'})"
0.11851851851851852,"frozenset({'dining table', 'person', 'chair', 'train'})"
0.10356902356902357,"frozenset({'dining table', 'tv', 'chair', 'train'})"
0.10074074074074074,"frozenset({'person', 'chair', 'dining table', 'tv', 'train'})"
0.3424915824915825,"frozenset({'cup', 'person'})"
0.28915824915824917,"frozenset({'cup', 'tv'})"
0.23582491582491583,"frozenset({'cup', 'chair'})"
0.21077441077441078,"frozenset({'cup', 'laptop'})"
0.19474747474747475,"frozenset({'cup', 'dining table'})"
0.16080808080808082,"frozenset({'cup', 'train'})"
0.13656565656565656,"frozenset({'cup', 'cat'})"
0.1344107744107744,"frozenset({'cup', 'dog'})"
0.27784511784511784,"frozenset({'cup', 'person', 'tv'})"
0.2298989898989899,"frozenset({'cup', 'person', 'chair'})"
0.19313131313131313,"frozenset({'cup', 'tv', 'chair'})"
0.18936026936026937,"frozenset({'cup', 'person', 'tv', 'chair'})"
0.2016161616161616,"frozenset({'cup', 'person', 'laptop'})"
0.19555555555555557,"frozenset({'cup', 'tv', 'laptop'})"
0.13723905723905724,"frozenset({'cup', 'chair', 'laptop'})"
0.18734006734006733,"frozenset({'cup', 'person', 'tv', 'laptop'})"
0.13400673400673402,"frozenset({'cup', 'chair', 'person', 'laptop'})"
0.12848484848484848,"frozenset({'cup', 'chair', 'tv', 'laptop'})"
0.12552188552188553,"frozenset({'person', 'cup', 'chair', 'tv', 'laptop'})"
0.18316498316498317,"frozenset({'cup', 'dining table', 'person'})"
0.14841750841750842,"frozenset({'cup', 'dining table', 'tv'})"
0.1354882154882155,"frozenset({'cup', 'dining table', 'chair'})"
0.11151515151515151,"frozenset({'cup', 'dining table', 'laptop'})"
0.14235690235690235,"frozenset({'dining table', 'person', 'cup', 'tv'})"
0.1317171717171717,"frozenset({'cup', 'dining table', 'person', 'chair'})"
0.10787878787878788,"frozenset({'cup', 'dining table', 'tv', 'chair'})"
0.10572390572390572,"frozenset({'person', 'cup', 'chair', 'dining table', 'tv'})"
0.10626262626262627,"frozenset({'cup', 'dining table', 'person', 'laptop'})"
0.10033670033670034,"frozenset({'cup', 'dining table', 'tv', 'laptop'})"
0.15447811447811446,"frozenset({'cup', 'person', 'train'})"
0.1354882154882155,"frozenset({'cup', 'tv', 'train'})"
0.10909090909090909,"frozenset({'cup', 'chair', 'train'})"
0.13104377104377105,"frozenset({'cup', 'person', 'tv', 'train'})"
0.10707070707070707,"frozenset({'cup', 'person', 'chair', 'train'})"
0.1292929292929293,"frozenset({'cup', 'cat', 'person'})"
0.11138047138047139,"frozenset({'cup', 'cat', 'tv'})"
0.10666666666666667,"frozenset({'cup', 'person', 'cat', 'tv'})"
0.1286195286195286,"frozenset({'cup', 'person', 'dog'})"
0.10707070707070707,"frozenset({'cup', 'tv', 'dog'})"
0.1032996632996633,"frozenset({'cup', 'person', 'tv', 'dog'})"
0.3434343434343434,"frozenset({'person', 'cell phone'})"
0.3022222222222222,"frozenset({'tv', 'cell phone'})"
0.22585858585858587,"frozenset({'cell phone', 'laptop'})"
0.21696969696969698,"frozenset({'chair', 'cell phone'})"
0.16,"frozenset({'cup', 'cell phone'})"
0.15636363636363637,"frozenset({'cell phone', 'train'})"
0.1445117845117845,"frozenset({'dining table', 'cell phone'})"
0.1344107744107744,"frozenset({'cat', 'cell phone'})"
0.13656565656565656,"frozenset({'cell phone', 'dog'})"
0.2958922558922559,"frozenset({'person', 'tv', 'cell phone'})"
0.21952861952861952,"frozenset({'person', 'cell phone', 'laptop'})"
0.214006734006734,"frozenset({'tv', 'laptop', 'cell phone'})"
0.2088888888888889,"frozenset({'person', 'tv', 'laptop', 'cell phone'})"
0.2146801346801347,"frozenset({'chair', 'person', 'cell phone'})"
0.18760942760942761,"frozenset({'chair', 'tv', 'cell phone'})"
0.1354882154882155,"frozenset({'chair', 'cell phone', 'laptop'})"
0.185993265993266,"frozenset({'person', 'chair', 'tv', 'cell phone'})"
0.13414141414141414,"frozenset({'person', 'chair', 'cell phone', 'laptop'})"
0.12983164983164983,"frozenset({'chair', 'tv', 'laptop', 'cell phone'})"
0.1286195286195286,"frozenset({'person', 'chair', 'cell phone', 'tv', 'laptop'})"
0.1564983164983165,"frozenset({'cup', 'person', 'cell phone'})"
0.13427609427609427,"frozenset({'cup', 'tv', 'cell phone'})"
0.10868686868686869,"frozenset({'cup', 'chair', 'cell phone'})"
0.1323905723905724,"frozenset({'cup', 'person', 'tv', 'cell phone'})"
0.10774410774410774,"frozenset({'cup', 'chair', 'person', 'cell phone'})"
0.15164983164983165,"frozenset({'person', 'cell phone', 'train'})"
0.13804713804713806,"frozenset({'tv', 'cell phone', 'train'})"
0.10141414141414141,"frozenset({'chair', 'cell phone', 'train'})"
0.1344107744107744,"frozenset({'person', 'tv', 'cell phone', 'train'})"
0.10006734006734007,"frozenset({'chair', 'person', 'cell phone', 'train'})"
0.14033670033670034,"frozenset({'dining table', 'person', 'cell phone'})"
0.11865319865319865,"frozenset({'dining table', 'tv', 'cell phone'})"
0.10168350168350168,"frozenset({'dining table', 'chair', 'cell phone'})"
0.11636363636363636,"frozenset({'dining table', 'person', 'tv', 'cell phone'})"
0.10033670033670034,"frozenset({'dining table', 'chair', 'person', 'cell phone'})"
0.13198653198653199,"frozenset({'cat', 'person', 'cell phone'})"
0.11569023569023569,"frozenset({'cat', 'tv', 'cell phone'})"
0.11393939393939394,"frozenset({'person', 'cat', 'tv', 'cell phone'})"
0.13414141414141414,"frozenset({'person', 'cell phone', 'dog'})"
0.11474747474747475,"frozenset({'tv', 'cell phone', 'dog'})"
0.11313131313131314,"frozenset({'person', 'tv', 'cell phone', 'dog'})"
0.32242424242424245,"frozenset({'car', 'person'})"
0.27744107744107743,"frozenset({'car', 'tv'})"
0.21077441077441078,"frozenset({'car', 'chair'})"
0.2105050505050505,"frozenset({'car', 'train'})"
0.20094276094276095,"frozenset({'car', 'laptop'})"
0.14505050505050504,"frozenset({'car', 'dining table'})"
0.13131313131313133,"frozenset({'car', 'cell phone'})"
0.1301010101010101,"frozenset({'car', 'cup'})"
0.15569023569023568,"frozenset({'car', 'dog'})"
0.13737373737373737,"frozenset({'car', 'cat'})"
0.11636363636363636,"frozenset({'car', 'bottle'})"
0.2624915824915825,"frozenset({'car', 'person', 'tv'})"
0.20377104377104377,"frozenset({'car', 'person', 'chair'})"
0.17387205387205387,"frozenset({'car', 'tv', 'chair'})"
0.16794612794612795,"frozenset({'car', 'person', 'tv', 'chair'})"
0.1977104377104377,"frozenset({'car', 'person', 'train'})"
0.174006734006734,"frozenset({'car', 'tv', 'train'})"
0.1321212121212121,"frozenset({'car', 'chair', 'train'})"
0.16390572390572392,"frozenset({'car', 'person', 'tv', 'train'})"
0.127003367003367,"frozenset({'car', 'person', 'chair', 'train'})"
0.11205387205387206,"frozenset({'car', 'tv', 'chair', 'train'})"
0.10774410774410774,"frozenset({'person', 'car', 'chair', 'tv', 'train'})"
0.18855218855218855,"frozenset({'car', 'person', 'laptop'})"
0.18801346801346802,"frozenset({'car', 'tv', 'laptop'})"
0.12457912457912458,"frozenset({'car', 'chair', 'laptop'})"
0.12242424242424242,"frozenset({'car', 'laptop', 'train'})"
