support,itemsets
0.9089590411115777,frozenset({'person'})
0.7683322517845554,frozenset({'tv'})
0.5563995877390541,frozenset({'laptop'})
0.3749284269191129,frozenset({'dining table'})
0.3729434668091766,frozenset({'cell phone'})
0.29415581936863,frozenset({'clock'})
0.2548383402679696,frozenset({'oven'})
0.18666259495362064,frozenset({'cake'})
0.1838760163377486,frozenset({'bus'})
0.15860594724586785,frozenset({'donut'})
0.1407031339466351,frozenset({'bowl'})
0.1398251708210864,frozenset({'boat'})
0.12768637630263008,frozenset({'truck'})
0.11909760659617513,frozenset({'suitcase'})
0.10363782112455625,frozenset({'sink'})
0.4949421689506432,frozenset({'chair'})
0.27213039661029886,frozenset({'remote'})
0.24334847501622323,frozenset({'keyboard'})
0.4341718517387487,frozenset({'train'})
0.28671221895636906,frozenset({'bench'})
0.2386151086002214,frozenset({'microwave'})
0.32942703362980497,frozenset({'book'})
0.26892392258655573,frozenset({'refrigerator'})
0.18662442264381418,frozenset({'pizza'})
0.15555216246135053,frozenset({'bed'})
0.31885330381341376,frozenset({'cup'})
0.2877428713211436,frozenset({'bottle'})
0.2070466083902737,frozenset({'potted plant'})
0.14967362675115473,frozenset({'vase'})
0.12329656067488644,frozenset({'broccoli'})
0.12127342825514371,frozenset({'couch'})
0.28797190517998245,frozenset({'car'})
0.3502691147841356,frozenset({'cat'})
0.3298087567278696,frozenset({'dog'})
0.2664808947589419,frozenset({'tie'})
0.14089399549566745,frozenset({'teddy bear'})
0.11776157575294881,frozenset({'umbrella'})
0.10192006718326525,frozenset({'parking meter'})
0.11012711379165553,frozenset({'handbag'})
0.7146238118868573,"frozenset({'person', 'tv'})"
0.5166622132305225,"frozenset({'tv', 'laptop'})"
0.5135702561361988,"frozenset({'person', 'laptop'})"
0.47929152192999197,"frozenset({'person', 'tv', 'laptop'})"
0.33396953849677447,"frozenset({'person', 'dining table'})"
0.2794594800931404,"frozenset({'dining table', 'tv'})"
0.21846012902240713,"frozenset({'dining table', 'laptop'})"
0.212963316410276,"frozenset({'dining table', 'chair'})"
0.13318318891476122,"frozenset({'train', 'dining table'})"
0.26090773752719776,"frozenset({'person', 'dining table', 'tv'})"
0.20128258960949727,"frozenset({'person', 'dining table', 'laptop'})"
0.19719815246020536,"frozenset({'dining table', 'tv', 'laptop'})"
0.18349429323968394,"frozenset({'person', 'dining table', 'tv', 'laptop'})"
0.20593961140588618,"frozenset({'person', 'dining table', 'chair'})"
0.17303508035271215,"frozenset({'chair', 'dining table', 'tv'})"
0.1261976562201779,"frozenset({'chair', 'dining table', 'laptop'})"
0.16833988624651677,"frozenset({'chair', 'person', 'dining table', 'tv'})"
0.12276214833759591,"frozenset({'chair', 'person', 'dining table', 'laptop'})"
0.11623468336069015,"frozenset({'chair', 'dining table', 'tv', 'laptop'})"
0.11314272626636637,"frozenset({'tv', 'laptop', 'dining table', 'person', 'chair'})"
0.1239073176317899,"frozenset({'train', 'person', 'dining table'})"
0.10932549528571973,"frozenset({'train', 'dining table', 'tv'})"
0.10256899644997519,"frozenset({'train', 'person', 'dining table', 'tv'})"
0.35927777989846166,"frozenset({'cell phone', 'person'})"
0.3054929953811505,"frozenset({'cell phone', 'tv'})"
0.23365270832538076,"frozenset({'cell phone', 'laptop'})"
0.14261174943695842,"frozenset({'cell phone', 'dining table'})"
0.1395579646524411,"frozenset({'train', 'cell phone'})"
0.20315303279001412,"frozenset({'cell phone', 'chair'})"
0.29499561018437226,"frozenset({'cell phone', 'person', 'tv'})"
0.22365156315608659,"frozenset({'cell phone', 'person', 'laptop'})"
0.21739130434782608,"frozenset({'cell phone', 'tv', 'laptop'})"
0.20853532847272588,"frozenset({'cell phone', 'person', 'tv', 'laptop'})"
0.13688590296598846,"frozenset({'cell phone', 'person', 'dining table'})"
0.11520403099591556,"frozenset({'cell phone', 'dining table', 'tv'})"
0.11108142153681719,"frozenset({'cell phone', 'person', 'dining table', 'tv'})"
0.1331068442951483,"frozenset({'train', 'cell phone', 'person'})"
0.11978470817269153,"frozenset({'train', 'cell phone', 'tv'})"
0.11455510172920563,"frozenset({'train', 'cell phone', 'person', 'tv'})"
0.2000992480054968,"frozenset({'cell phone', 'person', 'chair'})"
0.16971408939954957,"frozenset({'cell phone', 'tv', 'chair'})"
0.12600679467114556,"frozenset({'cell phone', 'laptop', 'chair'})"
0.1671947169523228,"frozenset({'cell phone', 'person', 'tv', 'chair'})"
0.1237928007023705,"frozenset({'cell phone', 'person', 'laptop', 'chair'})"
0.11795243730198114,"frozenset({'cell phone', 'tv', 'laptop', 'chair'})"
0.11589113257243196,"frozenset({'cell phone', 'laptop', 'chair', 'person', 'tv'})"
0.263541626903844,"frozenset({'person', 'clock'})"
0.2397602778944154,"frozenset({'clock', 'tv'})"
0.1705920525250983,"frozenset({'clock', 'laptop'})"
0.12768637630263008,"frozenset({'cell phone', 'clock'})"
0.10054586403023247,"frozenset({'clock', 'dining table'})"
0.12264763140817651,"frozenset({'clock', 'chair'})"
0.1575371225712868,"frozenset({'train', 'clock'})"
0.10737870748558995,"frozenset({'book', 'clock'})"
0.12383097301217696,"frozenset({'cat', 'clock'})"
0.11776157575294881,"frozenset({'clock', 'dog'})"
0.21658968584189028,"frozenset({'person', 'tv', 'clock'})"
0.16200328281864335,"frozenset({'clock', 'tv', 'laptop'})"
0.1539870977592854,"frozenset({'clock', 'laptop', 'person'})"
0.14669618658625033,"frozenset({'person', 'clock', 'tv', 'laptop'})"
0.12054815436882085,"frozenset({'cell phone', 'person', 'clock'})"
0.10985990762301028,"frozenset({'cell phone', 'clock', 'tv'})"
0.10390502729320152,"frozenset({'cell phone', 'person', 'tv', 'clock'})"
0.10554643661487957,"frozenset({'chair', 'clock', 'tv'})"
0.11718899110585182,"frozenset({'chair', 'person', 'clock'})"
0.10115662098713593,"frozenset({'chair', 'person', 'tv', 'clock'})"
0.14112302935450624,"frozenset({'train', 'person', 'clock'})"
0.12841165018895292,"frozenset({'train', 'clock', 'tv'})"
0.11554758178417376,"frozenset({'train', 'person', 'tv', 'clock'})"
0.11474596327823797,"frozenset({'cat', 'clock', 'person'})"
0.10272168568920105,"frozenset({'cat', 'clock', 'tv'})"
0.11188304004275298,"frozenset({'person', 'dog', 'clock'})"
0.2247585601404741,"frozenset({'oven', 'person'})"
0.20029010955452914,"frozenset({'oven', 'tv'})"
0.15165858686109096,"frozenset({'oven', 'laptop'})"
0.1296713364125663,"frozenset({'oven', 'dining table'})"
0.13562621674237507,"frozenset({'oven', 'chair'})"
0.16272855670496622,"frozenset({'oven', 'train'})"
0.18227277932587702,"frozenset({'oven', 'person', 'tv'})"
0.1405886170172157,"frozenset({'oven', 'tv', 'laptop'})"
0.1366186967973432,"frozenset({'oven', 'person', 'laptop'})"
0.12791541016146887,"frozenset({'oven', 'person', 'tv', 'laptop'})"
0.11169217849372065,"frozenset({'oven', 'person', 'dining table'})"
0.1285643394281788,"frozenset({'oven', 'person', 'chair'})"
0.1142497232507539,"frozenset({'oven', 'chair', 'tv'})"
0.10882925525823568,"frozenset({'oven', 'chair', 'person', 'tv'})"
0.14665801427644387,"frozenset({'oven', 'train', 'person'})"
0.1333358781539871,"frozenset({'oven', 'train', 'tv'})"
0.12150246211398252,"frozenset({'oven', 'train', 'person', 'tv'})"
0.15948391037141657,"frozenset({'person', 'cake'})"
0.12894606252624347,"frozenset({'cake', 'dining table'})"
0.12677024086727487,"frozenset({'cake', 'tv'})"
0.10344695957552391,"frozenset({'cake', 'laptop'})"
0.10512654120700844,"frozenset({'person', 'dining table', 'cake'})"
0.11592930488223842,"frozenset({'person', 'cake', 'tv'})"
0.1703630186662595,"frozenset({'person', 'bus'})"
0.15246020536702676,"frozenset({'tv', 'bus'})"
0.10569912585410543,"frozenset({'laptop', 'bus'})"
0.15711722716341567,"frozenset({'train', 'bus'})"
0.14306981715463601,"frozenset({'person', 'tv', 'bus'})"
0.13066381646753444,"frozenset({'train', 'tv', 'bus'})"
0.1223040806199183,"frozenset({'train', 'person', 'tv', 'bus'})"
0.10046951941061953,"frozenset({'tv', 'laptop', 'bus'})"
0.14555101729205636,"frozenset({'train', 'person', 'bus'})"
0.14245906019773255,"frozenset({'donut', 'person'})"
0.10921097835630034,"frozenset({'donut', 'tv'})"
0.10352330419513685,"frozenset({'donut', 'person', 'tv'})"
0.11428789556056038,"frozenset({'person', 'bowl'})"
0.1036759934343627,"frozenset({'bowl', 'dining table'})"
0.12665572393785549,"frozenset({'boat', 'person'})"
0.11417337863114096,"frozenset({'boat', 'tv'})"
0.10554643661487957,"frozenset({'train', 'boat'})"
0.1050501965873955,"frozenset({'boat', 'tv', 'person'})"
0.11077604305836546,"frozenset({'person', 'truck'})"
0.11176852311333359,"frozenset({'suitcase', 'person'})"
0.402030766881704,"frozenset({'chair', 'tv'})"
0.2830095049051418,"frozenset({'chair', 'laptop'})"
0.4786425926632821,"frozenset({'person', 'chair'})"
0.3903500400809253,"frozenset({'chair', 'person', 'tv'})"
0.264610451578425,"frozenset({'chair', 'tv', 'laptop'})"
0.27442073519868687,"frozenset({'chair', 'person', 'laptop'})"
0.25663243882887354,"frozenset({'chair', 'person', 'tv', 'laptop'})"
0.21681871970072908,"frozenset({'tv', 'remote'})"
0.17051570790548537,"frozenset({'laptop', 'remote'})"
0.13852731228766652,"frozenset({'chair', 'remote'})"
0.2549910295071955,"frozenset({'person', 'remote'})"
0.16475168912470894,"frozenset({'cell phone', 'remote'})"
0.11115776615643012,"frozenset({'book', 'remote'})"
0.11234110776043059,"frozenset({'dining table', 'remote'})"
0.101080276367523,"frozenset({'cup', 'remote'})"
0.12463259151811276,"frozenset({'cat', 'remote'})"
0.11722716341565828,"frozenset({'dog', 'remote'})"
0.20517616520975684,"frozenset({'person', 'tv', 'remote'})"
0.15631560865747987,"frozenset({'remote', 'tv', 'laptop'})"
0.15940756575180365,"frozenset({'person', 'laptop', 'remote'})"
0.14703973737450854,"frozenset({'person', 'remote', 'tv', 'laptop'})"
0.11501316944688324,"frozenset({'chair', 'tv', 'remote'})"
0.1355116998129557,"frozenset({'person', 'chair', 'remote'})"
0.11276100316830172,"frozenset({'chair', 'person', 'tv', 'remote'})"
0.15860594724586785,"frozenset({'cell phone', 'person', 'remote'})"
0.13429018589914876,"frozenset({'cell phone', 'tv', 'remote'})"
0.10665343359926709,"frozenset({'cell phone', 'laptop', 'remote'})"
0.1295949917929534,"frozenset({'cell phone', 'person', 'tv', 'remote'})"
0.10180555025384586,"frozenset({'cell phone', 'person', 'laptop', 'remote'})"
0.10363782112455625,"frozenset({'book', 'person', 'remote'})"
0.10390502729320152,"frozenset({'person', 'dining table', 'remote'})"
0.11863953887849754,"frozenset({'cat', 'person', 'remote'})"
0.10058403634003893,"frozenset({'cat', 'tv', 'remote'})"
0.11291369240752758,"frozenset({'person', 'dog', 'remote'})"
0.21059663320227506,"frozenset({'keyboard', 'tv'})"
0.2009008665114326,"frozenset({'keyboard', 'laptop'})"
0.11837233270985227,"frozenset({'chair', 'keyboard'})"
0.2137267626064053,"frozenset({'person', 'keyboard'})"
0.11604382181165783,"frozenset({'train', 'keyboard'})"
0.1060808489521701,"frozenset({'cat', 'keyboard'})"
0.10127113791655533,"frozenset({'dog', 'keyboard'})"
0.10043134710081307,"frozenset({'dining table', 'keyboard'})"
0.1876169026987823,"frozenset({'person', 'keyboard', 'tv'})"
0.18547925334962018,"frozenset({'keyboard', 'tv', 'laptop'})"
0.17753941290987518,"frozenset({'person', 'keyboard', 'laptop'})"
0.16551513532083825,"frozenset({'person', 'keyboard', 'tv', 'laptop'})"
0.10577547047371837,"frozenset({'chair', 'keyboard', 'tv'})"
0.11237928007023705,"frozenset({'chair', 'person', 'keyboard'})"
0.10088941481849066,"frozenset({'chair', 'person', 'keyboard', 'tv'})"
0.1015383440852006,"frozenset({'train', 'keyboard', 'tv'})"
0.10104210405771653,"frozenset({'train', 'person', 'keyboard'})"
0.39508340649692714,"frozenset({'train', 'person'})"
0.35236859182349123,"frozenset({'train', 'tv'})"
0.24147803183570637,"frozenset({'train', 'laptop'})"
0.21895636904989121,"frozenset({'train', 'chair'})"
0.32358667022941556,"frozenset({'train', 'person', 'tv'})"
0.22899568652899188,"frozenset({'train', 'tv', 'laptop'})"
0.21994884910485935,"frozenset({'train', 'person', 'laptop'})"
0.20926060235904875,"frozenset({'train', 'person', 'tv', 'laptop'})"
0.20929877466885521,"frozenset({'train', 'person', 'chair'})"
0.1837614994083292,"frozenset({'train', 'chair', 'tv'})"
0.12115891132572432,"frozenset({'train', 'chair', 'laptop'})"
0.17647058823529413,"frozenset({'train', 'chair', 'person', 'tv'})"
0.11581478795281902,"frozenset({'train', 'chair', 'person', 'laptop'})"
0.1152803756155285,"frozenset({'train', 'chair', 'tv', 'laptop'})"
0.11020345841126847,"frozenset({'tv', 'laptop', 'train', 'person', 'chair'})"
0.265755620872619,"frozenset({'person', 'bench'})"
0.22701072641905562,"frozenset({'tv', 'bench'})"
0.16891247089361378,"frozenset({'train', 'bench'})"
0.16326296904225673,"frozenset({'laptop', 'bench'})"
0.19570943237775318,"frozenset({'chair', 'bench'})"
0.12677024086727487,"frozenset({'dining table', 'bench'})"
0.10066038095965187,"frozenset({'dog', 'bench'})"
0.11409703401152804,"frozenset({'car', 'bench'})"
0.212390731763179,"frozenset({'person', 'tv', 'bench'})"
0.15471237164560828,"frozenset({'train', 'person', 'bench'})"
0.1350536320952781,"frozenset({'train', 'tv', 'bench'})"
0.110737870748559,"frozenset({'train', 'chair', 'bench'})"
0.1247089361377257,"frozenset({'train', 'person', 'tv', 'bench'})"
0.10497385196778257,"frozenset({'train', 'person', 'chair', 'bench'})"
0.1517349314807039,"frozenset({'person', 'laptop', 'bench'})"
0.15154406993167158,"frozenset({'bench', 'tv', 'laptop'})"
0.11184486773294652,"frozenset({'chair', 'laptop', 'bench'})"
0.1412757185937321,"frozenset({'bench', 'person', 'tv', 'laptop'})"
0.10760774134442876,"frozenset({'chair', 'person', 'laptop', 'bench'})"
0.10398137191281444,"frozenset({'chair', 'bench', 'tv', 'laptop'})"
0.1000496240027484,"frozenset({'laptop', 'chair', 'bench', 'person', 'tv'})"
0.1876169026987823,"frozenset({'person', 'chair', 'bench'})"
0.15906401496354544,"frozenset({'chair', 'tv', 'bench'})"
0.15318547925334963,"frozenset({'chair', 'person', 'tv', 'bench'})"
0.11883040042752988,"frozenset({'person', 'dining table', 'bench'})"
0.10180555025384586,"frozenset({'dining table', 'tv', 'bench'})"
0.10401954422262091,"frozenset({'person', 'car', 'bench'})"
0.21563537809672864,"frozenset({'microwave', 'tv'})"
0.21441386418292172,"frozenset({'microwave', 'person'})"
0.1631102798030309,"frozenset({'microwave', 'laptop'})"
0.1363896629385044,"frozenset({'train', 'microwave'})"
0.14055044470740924,"frozenset({'oven', 'microwave'})"
0.1141352063213345,"frozenset({'microwave', 'refrigerator'})"
0.11841050501965875,"frozenset({'microwave', 'chair'})"
0.19586212161697905,"frozenset({'microwave', 'person', 'tv'})"
0.15852960262625493,"frozenset({'microwave', 'tv', 'laptop'})"
0.14726877123334733,"frozenset({'microwave', 'person', 'laptop'})"
0.14394778028018476,"frozenset({'microwave', 'person', 'tv', 'laptop'})"
0.12291483757682177,"frozenset({'train', 'microwave', 'person'})"
0.1224185975493377,"frozenset({'train', 'microwave', 'tv'})"
0.11085238767797839,"frozenset({'train', 'microwave', 'person', 'tv'})"
0.12421269611024163,"frozenset({'oven', 'microwave', 'person'})"
0.12238042523953124,"frozenset({'oven', 'microwave', 'tv'})"
0.10989807993281674,"frozenset({'oven', 'microwave', 'person', 'tv'})"
0.10711150131694469,"frozenset({'microwave', 'refrigerator', 'tv'})"
0.10646257205023477,"frozenset({'microwave', 'person', 'refrigerator'})"
0.100507691720426,"frozenset({'microwave', 'person', 'refrigerator', 'tv'})"
0.11226476314081765,"frozenset({'microwave', 'person', 'chair'})"
0.11077604305836546,"frozenset({'tv', 'microwave', 'chair'})"
0.10543191968546017,"frozenset({'tv', 'microwave', 'person', 'chair'})"
0.3062946138870863,"frozenset({'book', 'person'})"
0.2802610985990762,"frozenset({'book', 'tv'})"
0.22842310188189488,"frozenset({'book', 'laptop'})"
0.15078062373554224,"frozenset({'cell phone', 'book'})"
0.12406000687101576,"frozenset({'train', 'book'})"
0.17265335725464748,"frozenset({'book', 'chair'})"
0.14639080810779861,"frozenset({'book', 'dining table'})"
0.11791426499217468,"frozenset({'cat', 'book'})"
0.26312173149597284,"frozenset({'book', 'person', 'tv'})"
0.21342138412795358,"frozenset({'book', 'tv', 'laptop'})"
0.21227621483375958,"frozenset({'book', 'person', 'laptop'})"
0.19960300797801275,"frozenset({'book', 'person', 'tv', 'laptop'})"
0.14455853723708822,"frozenset({'cell phone', 'book', 'person'})"
0.13280146581669658,"frozenset({'cell phone', 'book', 'tv'})"
0.11230293545062411,"frozenset({'cell phone', 'book', 'laptop'})"
0.12738099782417833,"frozenset({'cell phone', 'book', 'person', 'tv'})"
0.10672977821888002,"frozenset({'cell phone', 'book', 'person', 'laptop'})"
0.10592815971294423,"frozenset({'cell phone', 'book', 'tv', 'laptop'})"
0.10088941481849066,"frozenset({'cell phone', 'laptop', 'book', 'person', 'tv'})"
0.1145932740390121,"frozenset({'train', 'book', 'person'})"
0.10825667061113868,"frozenset({'train', 'book', 'tv'})"
0.10081307019887774,"frozenset({'train', 'book', 'person', 'tv'})"
0.1669275107836775,"frozenset({'book', 'person', 'chair'})"
0.14887200824521893,"frozenset({'book', 'tv', 'chair'})"
0.11623468336069015,"frozenset({'book', 'laptop', 'chair'})"
0.14417681413902356,"frozenset({'book', 'person', 'tv', 'chair'})"
0.11245562468984999,"frozenset({'book', 'person', 'laptop', 'chair'})"
0.10955452914455854,"frozenset({'book', 'tv', 'laptop', 'chair'})"
0.10611902126197656,"frozenset({'laptop', 'chair', 'book', 'person', 'tv'})"
0.13383211818147117,"frozenset({'book', 'person', 'dining table'})"
0.12138794518456311,"frozenset({'book', 'dining table', 'tv'})"
0.10428675039126617,"frozenset({'book', 'dining table', 'laptop'})"
0.11302820933694697,"frozenset({'book', 'person', 'dining table', 'tv'})"
0.11226476314081765,"frozenset({'cat', 'book', 'person'})"
0.1023399625911364,"frozenset({'cat', 'book', 'tv'})"
0.2564415772798412,"frozenset({'person', 'refrigerator'})"
0.23609573615299462,"frozenset({'refrigerator', 'tv'})"
0.1639882429285796,"frozenset({'refrigerator', 'laptop'})"
0.11631102798030309,"frozenset({'book', 'refrigerator'})"
0.10432492270107264,"frozenset({'cell phone', 'refrigerator'})"
0.1467343588960568,"frozenset({'refrigerator', 'chair'})"
0.11108142153681719,"frozenset({'refrigerator', 'bottle'})"
0.10802763675229989,"frozenset({'dining table', 'refrigerator'})"
0.10657708897965416,"frozenset({'cup', 'refrigerator'})"
0.13658052448753674,"frozenset({'train', 'refrigerator'})"
0.22598007405428103,"frozenset({'person', 'refrigerator', 'tv'})"
