support,itemsets
0.9185209971557637,frozenset({'person'})
0.8032457754726451,frozenset({'tv'})
0.5658357035301991,frozenset({'laptop'})
0.5099548268362054,frozenset({'chair'})
0.34900451731637944,frozenset({'dining table'})
0.34047180859963194,frozenset({'cup'})
0.2819140036807763,frozenset({'refrigerator'})
0.25815626568512634,frozenset({'bench'})
0.24711393675757068,frozenset({'car'})
0.2313869834365066,frozenset({'oven'})
0.19173498410573867,frozenset({'potted plant'})
0.14790028442362388,frozenset({'vase'})
0.10925213317717919,frozenset({'handbag'})
0.25112932909486363,frozenset({'microwave'})
0.14589258825497742,frozenset({'bed'})
0.12732139869499748,frozenset({'bowl'})
0.12280408231554292,frozenset({'couch'})
0.10456750878367074,frozenset({'sink'})
0.3839718922536389,frozenset({'cell phone'})
0.36523339467960514,frozenset({'cat'})
0.33762757236071606,frozenset({'book'})
0.2765601472310524,frozenset({'remote'})
0.16312531370252636,frozenset({'cake'})
0.3543583737661034,frozenset({'train'})
0.3387987284590932,frozenset({'dog'})
0.25932742178350343,frozenset({'tie'})
0.23255813953488372,frozenset({'keyboard'})
0.1303329429479672,frozenset({'teddy bear'})
0.1017232725447549,frozenset({'suitcase'})
0.30349673749372597,frozenset({'bottle'})
0.2881044002007696,frozenset({'clock'})
0.11577714572528024,frozenset({'bus'})
0.10724443700853271,frozenset({'umbrella'})
0.11025598126150242,frozenset({'boat'})
0.14990798059227037,frozenset({'donut'})
0.14371758407227705,frozenset({'pizza'})
0.7398360381462272,"frozenset({'person', 'tv'})"
0.5270202442697005,"frozenset({'tv', 'laptop'})"
0.5141375271875522,"frozenset({'person', 'laptop'})"
0.47866822820813115,"frozenset({'person', 'tv', 'laptop'})"
0.4922201773464949,"frozenset({'person', 'chair'})"
0.4170988790363058,"frozenset({'chair', 'tv'})"
0.2782332273715911,"frozenset({'chair', 'laptop'})"
0.4028776978417266,"frozenset({'chair', 'person', 'tv'})"
0.2676928224861971,"frozenset({'chair', 'person', 'laptop'})"
0.2601639618537728,"frozenset({'chair', 'tv', 'laptop'})"
0.2501254810105404,"frozenset({'chair', 'person', 'tv', 'laptop'})"
0.32424293123640624,"frozenset({'person', 'dining table'})"
0.2745524510624059,"frozenset({'dining table', 'tv'})"
0.21683118621381964,"frozenset({'dining table', 'chair'})"
0.2051196252300485,"frozenset({'dining table', 'laptop'})"
0.14154257988957672,"frozenset({'cell phone', 'dining table'})"
0.11259829345825666,"frozenset({'cat', 'dining table'})"
0.10456750878367074,"frozenset({'train', 'dining table'})"
0.25815626568512634,"frozenset({'person', 'dining table', 'tv'})"
0.20762924544085662,"frozenset({'person', 'dining table', 'chair'})"
0.17500418270035134,"frozenset({'chair', 'dining table', 'tv'})"
0.16847917015225028,"frozenset({'chair', 'person', 'dining table', 'tv'})"
0.18889074786682283,"frozenset({'person', 'dining table', 'laptop'})"
0.18571189559979923,"frozenset({'dining table', 'tv', 'laptop'})"
